Feature,Coefficient
job_title_Food Chemist,0.0010284012663781018
job_title_GIS Technical Architect,0.0006999144828335328
job_title_General Manager,0.0008229104735926544
job_title_Geological Engineer,0.000430245878000106
job_title_Geologist I,0.00018392176113272394
job_title_Geologist II,6.204763562340795e-05
job_title_Geologist III,3.184204419842598e-05
job_title_Geologist IV,5.683818970201615e-05
job_title_Graphic Designer,0.0004390914743991994
job_title_Health Coach I,5.630747648741486e-05
job_title_Health Coach II,0.0005081587393070998
job_title_Health Coach III,1.0954878712776039e-05
job_title_Health Coach IV,0.000617803937154596
job_title_Help Desk Operator,0.0007000992457414603
job_title_Help Desk Technician,0.001099066693111669
job_title_Human Resources Assistant I,0.00031587015209265525
job_title_Human Resources Assistant II,0.00022057207420954735
job_title_Human Resources Assistant III,0.00011158158512060788
job_title_Human Resources Assistant IV,2.99344090818438e-05
job_title_Human Resources Manager,0.0005419345760571196
job_title_Information Systems Manager,0.0007645070726657549
job_title_Internal Auditor,0.000849141339714612
job_title_Junior Executive,0.000900257838905065
job_title_Legal Assistant,0.0010015261904985544
job_title_Librarian,0.000507841369330401
job_title_Marketing Assistant,0.00038277166578804884
job_title_Marketing Manager,0.0008915447884224361
job_title_Mechanical Systems Engineer,0.0003065310329525426
job_title_Media Manager I,2.7464266025375824e-05
job_title_Media Manager II,6.823820712581753e-05
job_title_Media Manager III,0.00044622992161473947
job_title_Media Manager IV,0.00020956836889139617
job_title_Nuclear Power Engineer,0.0008242088435266389
job_title_Nurse,0.00036070558870106604
job_title_Nurse Practicioner,0.0003111694493289205
job_title_Occupational Therapist,0.00035551997171716403
job_title_Office Assistant I,0.0001746704639052855
job_title_Office Assistant II,2.4510062326652805e-05
job_title_Office Assistant III,0.000186706937950238
job_title_Office Assistant IV,0.00019741404978308432
job_title_Operator,0.0007257910328130149
job_title_Paralegal,0.001038178115233062
job_title_Payment Adjustment Coordinator,0.0007710824303199008
job_title_Pharmacist,0.0008838057790170576
job_title_Physical Therapy Assistant,0.0008045378338931283
job_title_Product Engineer,0.0009667831254747143
job_title_Professor,0.0006575078838716491
job_title_Programmer Analyst I,7.018420181205874e-05
job_title_Programmer Analyst II,0.0003683568994917339
job_title_Programmer Analyst III,0.00043824061838699635
job_title_Programmer Analyst IV,1.250336908470667e-05
job_title_Programmer I,0.0003383685054546414
job_title_Programmer II,0.00020494548359191583
job_title_Programmer III,7.473385446983573e-05
job_title_Programmer IV,0.00012295972516108346
job_title_Project Manager,0.0005562206496608764
job_title_Quality Control Specialist,0.0009579678524782613
job_title_Quality Engineer,0.0011756618195132359
job_title_Recruiter,0.0005638461494358113
job_title_Recruiting Manager,0.0005476183922748333
job_title_Registered Nurse,0.0009771354171827051
job_title_Research Assistant I,0.00018085893472999978
job_title_Research Assistant II,0.0003827620731968515
job_title_Research Assistant III,8.988107356146898e-05
job_title_Research Assistant IV,5.1335554821654544e-05
job_title_Research Associate,0.00041213320393108
job_title_Research Nurse,0.000874378222516035
job_title_Safety Technician I,0.00013108962322172803
job_title_Safety Technician II,0.0002887686732900786
job_title_Safety Technician III,0.0004294422676569146
job_title_Safety Technician IV,0.00010325868431996577
job_title_Sales Associate,0.0005719152252778913
job_title_Sales Representative,0.0005732870830914197
job_title_Senior Cost Accountant,0.000583529572657885
job_title_Senior Developer,0.000503763805910588
job_title_Senior Editor,0.0005559323133368172
job_title_Senior Financial Analyst,0.0005901885465225887
job_title_Senior Quality Engineer,0.00017099340006728999
job_title_Senior Sales Associate,0.00033976777766614203
job_title_Social Worker,0.0008114462238220067
job_title_Software Consultant,0.0006435334327796952
job_title_Software Engineer I,0.0002125465075559138
job_title_Software Engineer II,0.0002939936719427562
job_title_Software Engineer III,0.0001609940999727979
job_title_Software Engineer IV,9.28803224994171e-05
job_title_Software Test Engineer I,0.0002138737793074423
job_title_Software Test Engineer II,3.9906504998217214e-05
job_title_Software Test Engineer III,0.00034610087791796804
job_title_Software Test Engineer IV,0.00011296023879420566
job_title_Speech Pathologist,0.0008905808555417928
job_title_Staff Accountant I,2.7273070896836922e-05
job_title_Staff Accountant II,0.00019457503878702657
job_title_Staff Accountant IV,1.637256230515093e-05
job_title_Staff Scientist,0.0005246513442828341
job_title_Statistician I,5.939435243540801e-05
job_title_Statistician II,0.00012978571590804928
job_title_Statistician III,0.00039931552111527975
job_title_Statistician IV,0.00018520746993593823
job_title_Structural Analysis Engineer,0.00042761806759656094
job_title_Structural Engineer,0.0017754002881433827
job_title_Systems Administrator I,9.538923198842103e-05
job_title_Systems Administrator II,2.579044440304358e-05
job_title_Systems Administrator III,0.0002712079887650092
job_title_Systems Administrator IV,0.00015486077146423832
job_title_Tax Accountant,0.0013450681641504916
job_title_Teacher,0.00137576364412412
job_title_Technical Writer,0.0004970692789308413
job_title_VP Accounting,0.0010720489029467193
job_title_VP Marketing,0.0007165886910671607
job_title_VP Product Management,0.0005904319812023041
job_title_VP Quality Control,0.0008667057144709765
job_title_VP Sales,0.0007681238857987414
job_title_Web Designer I,0.00020247355197651747
job_title_Web Designer II,0.0003533958083223695
job_title_Web Designer III,5.90184384904429e-05
job_title_Web Designer IV,0.0004961026798261861
job_title_Web Developer I,7.78999854233753e-05
job_title_Web Developer II,3.799783748518742e-05
job_title_Web Developer III,0.00020399651248963614
job_title_Web Developer IV,0.00023732773023211378
online_order_0.0,0.002333530640702975
online_order_1.0,0.002186313230188249
order_status_Approved,0.0002290871176563558
order_status_Cancelled,0.00012940812752194433
wealth_segment_Affluent Customer,0.002992806662015343
wealth_segment_High Net Worth,0.0026939165555018383
wealth_segment_Mass Customer,0.003067551155227221
brand_Giant Bicycles,0.0020927778759040694
brand_Norco Bicycles,0.0019221962734194558
brand_OHM Cycles,0.001958090740565744
brand_Solex,0.0022513955114138924
brand_Trek Bicycles,0.0018915620858268292
brand_WeareA2B,0.0018928040579541216
product_line_Mountain,0.0004346876018893996
product_line_Road,0.0012425245060920162
product_line_Standard,0.00174642724325575
product_line_Touring,0.0007954546761236342
product_class_high,0.0020059849291762673
product_class_low,0.0011917987193106531
product_class_medium,0.0013162077221927646
product_size_large,0.0012008068568649327
product_size_medium,0.001628737502358878
product_size_small,0.0005854544711472532
tenure_period_10-15,0.0027052289021405034
tenure_period_5-10,0.0034796456546875632
tenure_period_<5,0.0023130771725057403
tenure_period_>15,0.0030002280062782316
property_valuation_3-6,0.002947990021293295
property_valuation_6-9,0.0034024926669902825
property_valuation_<3,0.002545703264950786
property_valuation_>9,0.002801862750491542
product_margin_0.07221363859821617,0.00016796312987693427
product_margin_0.10119320171303901,0.000390167650806372
product_margin_0.10999826944708832,0.00034295806596374475
product_margin_0.1099992226203349,0.0005462414326248961
product_margin_0.10999927794358343,0.00015176761944646393
product_margin_0.10999999999999995,0.0002019097528693627
product_margin_0.11000020228992191,8.882811660135128e-05
product_margin_0.11000050681097635,0.0002769552752964626
product_margin_0.11000085258760335,0.0009411198690525551
product_margin_0.11000101651104367,0.0002556287223063717
product_margin_0.11000122003294088,0.0004607989743588463
product_margin_0.11000164365548974,0.00025825688120241567
product_margin_0.11000174347649211,0.0003967953661025309
product_margin_0.11000237183613992,0.00033161095192394535
product_margin_0.1100035812343321,0.00039003795584647975
product_margin_0.11000378245925649,0.000504119343995468
product_margin_0.12974922418854307,0.00041575675182077245
product_margin_0.19997189432265314,0.00033441209403820677
product_margin_0.19999449050990323,0.0004251790995501127
product_margin_0.19999688623873196,0.0009308223118361214
product_margin_0.20000348043992763,0.00027824530147446225
product_margin_0.21887060099714212,0.0012111566438229374
product_margin_0.22182851880767912,0.00031873373158615285
product_margin_0.24991713622804118,0.0007213416110782356
product_margin_0.24996503007413623,0.0003587678252114952
product_margin_0.2499728053954096,0.00041673950495896457
product_margin_0.24998578657115245,0.0002464726108451244
product_margin_0.24998800901721907,0.0004598729091710148
product_margin_0.24999369403455673,0.0011569595078780419
product_margin_0.24999999999999992,0.0007169403485518518
product_margin_0.25000434578545727,0.00045837743992160993
product_margin_0.2500046007471613,0.0003095508805375579
product_margin_0.2500046859477798,0.00036702583000504315
product_margin_0.2500108267290286,0.00026838292991014645
product_margin_0.2500246767347744,0.0007525678656435035
product_margin_0.25002491280518174,0.0003136893710988657
product_margin_0.25972059734361025,0.0004864370428111356
product_margin_0.3073430750850106,0.0008011164524183781
product_margin_0.30896039790497,0.0007661353028902161
product_margin_0.3196864980406127,0.000904193191386791
product_margin_0.3520870434592433,0.0002487944132932217
product_margin_0.3589505849344115,0.00036724168783228546
product_margin_0.3719018364919256,0.00012681659672975174
product_margin_0.37527187552283753,0.0006159232477929022
product_margin_0.3923683727756375,0.00035818024292982403
product_margin_0.3996669442131557,0.00023917471714524088
product_margin_0.3999912234509391,0.00026984504327718875
product_margin_0.39999609626607857,0.00044446791405277887
product_margin_0.39999741778885256,0.00030595827738505655
product_margin_0.3999980056440274,0.000317834149811896
product_margin_0.3999982287247704,0.0006132072158661395
product_margin_0.3999984312864236,0.00034893343575189486
product_margin_0.4,0.00018874793208520696
product_margin_0.4000010852343021,0.0002518038522437315
product_margin_0.4000013715821887,0.0003618928937755538
product_margin_0.4000026731892484,0.0005592838065730087
product_margin_0.40000348237916156,0.0003326962341560273
product_margin_0.40000403453562494,0.00032779383594828363
product_margin_0.4000111610256982,0.00017611532499745987
product_margin_0.43618702038265217,0.0005700228883507753
product_margin_0.4608385896446885,0.0006577935328401455
product_margin_0.4609126764956238,0.0005994500114801493
product_margin_0.4629010412257682,0.000899183980624618
product_margin_0.46921020243602257,0.0003434939350196647
product_margin_0.47414469201198267,0.00047477716718930495
product_margin_0.4760733551818349,0.000617706446502792
product_margin_0.49370644992224355,0.0003502724473587391
product_margin_0.538317021037237,0.00032798764035447785
product_margin_0.5389734093928932,0.0006351125751080838
product_margin_0.5691775706105286,0.0007250975949443891
product_margin_0.5940290178571429,0.0005788787569614759
product_margin_0.5980966407975982,0.00026944349654636253
product_margin_0.6173322695729404,0.00031870164041171445
product_margin_0.6445767948993213,0.0005051654385270507
product_margin_0.6711218297806131,0.0009714852381976879
product_margin_0.6735446676492381,0.0002698372500872799
product_margin_0.676079925525687,0.0003427782910481478
product_margin_0.678676044683492,0.0003094534287395776
product_margin_0.6820085776746825,0.0010654260118827166
product_margin_0.6838965468089263,0.0006600437371641472
product_margin_0.7271471088435374,0.0003426531544926428
product_margin_0.7523317969836638,0.000618409330724353
product_margin_0.7608759957975051,0.000330259249768451
product_margin_0.7839591373012966,0.0012125588648627876
product_margin_0.8009338311193432,0.0003952069430628217
product_margin_0.8074928084441324,0.0006561669448623424
product_margin_0.8140446671479867,0.000532552501880792
product_margin_0.8287370915427438,0.0014547926510104117
product_margin_0.845044492175514,0.000227897017295898
product_margin_0.8539966525139242,0.00038426617178880136
product_margin_0.8612602666399024,0.0003148251894519968
product_margin_0.8623881844487116,0.00028640766379910083
product_margin_0.8687406083742842,0.0005971436369079975
product_margin_0.8722810370407624,0.00033024989885364957
product_margin_0.9328546386192018,0.0003470666683289315
product_margin_0.9385411722158179,0.0006666660758569188
product_margin_0.9422335930534558,0.00018972044270835537
product_margin_0.9576372533914409,0.00017010067521964876
product_margin_0.9726861750870548,0.00038062048095490527
product_margin_0.9896042820457287,0.0001268053318292036
bikes_purchased_0,0.4211577170634935
bikes_purchased_1,0.31787136562342433
