customer_id,gender,age_group,state,job_industry_category,job_title,online_order,order_status,wealth_segment,brand,product_line,product_class,product_size,tenure,tenure_period,past_3_years_bike_related_purchases,valuation_category,property_valuation,product_margin
40,Female,40-50,NSW,Manufacturing,Payment Adjustment Coordinator,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,medium,14.0,10-15,91,6-9,8,0.3196864980406127
41,Male,40-50,VIC,Health,Food Chemist,1.0,Approved,Mass Customer,Norco Bicycles,Standard,high,medium,16.0,>15,64,>9,9,0.40000348237916156
42,Female,40-50,VIC,Manufacturing,Accountant III,1.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,small,18.0,>15,24,>9,10,0.11000085258760335
43,Female,40-50,QLD,Retail,Director of Sales,0.0,Approved,Mass Customer,OHM Cycles,Standard,medium,medium,5.0,5-10,38,6-9,8,0.8722810370407624
44,Male,40-50,QLD,Entertainment,Assistant Media Planner,0.0,Approved,Affluent Customer,Trek Bicycles,Standard,high,medium,17.0,>15,63,<3,2,0.4000111610256982
45,Male,40-50,NSW,Financial Services,Senior Financial Analyst,1.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,small,8.0,5-10,64,3-6,3,0.11000050681097635
47,Male,30-40,NSW,Health,Registered Nurse,0.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,medium,2.0,<5,51,3-6,4,0.3196864980406127
50,Male,40-50,NSW,Manufacturing,Account Executive,0.0,Approved,Mass Customer,Giant Bicycles,Road,medium,medium,16.0,>15,38,>9,10,0.4609126764956238
51,Male,60-70,QLD,Retail,Computer Systems Analyst II,0.0,Approved,Mass Customer,Norco Bicycles,Road,medium,large,18.0,>15,68,3-6,5,0.3589505849344115
53,Female,>70,QLD,Financial Services,Software Test Engineer II,0.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,16.0,>15,22,3-6,3,0.24999999999999992
54,Female,50-60,NSW,Property,Sales Associate,1.0,Approved,Mass Customer,Solex,Standard,medium,medium,18.0,>15,2,6-9,8,0.8287370915427438
55,Male,60-70,NSW,Financial Services,Paralegal,0.0,Approved,Affluent Customer,WeareA2B,Standard,medium,medium,7.0,5-10,48,>9,10,0.7839591373012966
56,Male,20-30,NSW,Property,VP Sales,0.0,Approved,Mass Customer,OHM Cycles,Standard,high,medium,4.0,<5,44,>9,10,0.3999980056440274
58,Female,50-60,NSW,Financial Services,Office Assistant III,1.0,Approved,Affluent Customer,OHM Cycles,Standard,high,medium,17.0,>15,26,>9,9,0.3999912234509391
61,Female,60-70,NSW,Property,Help Desk Operator,0.0,Approved,High Net Worth,WeareA2B,Touring,medium,medium,13.0,10-15,47,6-9,7,0.7523317969836638
63,Female,50-60,NSW,Retail,Senior Quality Engineer,0.0,Approved,Mass Customer,WeareA2B,Touring,medium,large,16.0,>15,58,>9,9,0.9576372533914409
64,Male,40-50,VIC,IT,Legal Assistant,1.0,Approved,High Net Worth,OHM Cycles,Standard,high,medium,4.0,<5,73,6-9,8,0.3999912234509391
65,Male,40-50,NSW,Financial Services,Information Systems Manager,0.0,Approved,Affluent Customer,Solex,Standard,medium,medium,15.0,>15,21,>9,10,0.4760733551818349
66,Male,20-30,NSW,Argiculture,Account Executive,0.0,Approved,High Net Worth,Trek Bicycles,Standard,low,medium,1.0,<5,46,>9,10,0.8539966525139242
70,Male,30-40,NSW,Financial Services,Paralegal,1.0,Approved,Affluent Customer,Trek Bicycles,Road,medium,large,8.0,5-10,78,>9,12,0.6838965468089263
71,Male,30-40,NSW,Argiculture,Research Associate,0.0,Approved,Affluent Customer,WeareA2B,Standard,medium,small,12.0,10-15,30,>9,10,0.1099992226203349
72,Male,50-60,QLD,Manufacturing,Administrative Officer,0.0,Approved,Affluent Customer,Trek Bicycles,Standard,high,medium,16.0,>15,93,6-9,6,0.40000403453562494
75,Female,40-50,NSW,Property,VP Product Management,1.0,Approved,Mass Customer,Solex,Standard,medium,medium,19.0,>15,28,6-9,8,0.24996503007413623
76,Female,40-50,QLD,Retail,Statistician II,0.0,Approved,High Net Worth,Trek Bicycles,Mountain,low,medium,18.0,>15,20,>9,9,0.20000348043992763
77,Male,30-40,QLD,Financial Services,Automation Specialist IV,0.0,Approved,Mass Customer,Norco Bicycles,Mountain,low,small,7.0,5-10,79,3-6,5,0.11000101651104367
78,Male,30-40,NSW,Argiculture,Business Systems Development Analyst,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,large,8.0,5-10,37,>9,9,0.07221363859821617
79,Female,50-60,NSW,Manufacturing,Account Executive,0.0,Approved,Mass Customer,Giant Bicycles,Standard,high,medium,18.0,>15,76,>9,10,0.4
80,Male,40-50,VIC,Entertainment,Data Coordiator,0.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,13.0,10-15,11,<3,1,0.3196864980406127
82,Female,50-60,VIC,Property,Software Test Engineer III,0.0,Approved,High Net Worth,Giant Bicycles,Standard,medium,medium,19.0,>15,93,6-9,8,0.6711218297806131
83,Male,50-60,NSW,IT,Internal Auditor,0.0,Approved,Mass Customer,Trek Bicycles,Road,low,medium,18.0,>15,97,>9,12,0.7608759957975051
86,Male,30-40,NSW,Health,Occupational Therapist,1.0,Approved,High Net Worth,OHM Cycles,Standard,low,medium,7.0,5-10,75,>9,11,0.19997189432265314
87,Male,50-60,NSW,Financial Services,Editor,1.0,Approved,Mass Customer,Norco Bicycles,Road,medium,medium,8.0,5-10,78,>9,12,0.3073430750850106
88,Female,50-60,NSW,Property,Help Desk Operator,0.0,Approved,High Net Worth,Trek Bicycles,Road,low,small,7.0,5-10,41,>9,12,0.11000174347649211
89,Male,50-60,NSW,Health,Speech Pathologist,0.0,Approved,Mass Customer,Solex,Standard,medium,large,14.0,10-15,74,>9,11,0.30896039790497
90,Male,30-40,NSW,Manufacturing,Quality Control Specialist,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,11.0,10-15,76,>9,10,0.4608385896446885
91,Male,60-70,NSW,Financial Services,Senior Financial Analyst,1.0,Approved,Affluent Customer,WeareA2B,Standard,medium,medium,17.0,>15,69,>9,9,0.8687406083742842
92,Female,40-50,VIC,Health,Recruiting Manager,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,large,12.0,10-15,98,>9,10,0.8140446671479867
93,Male,40-50,VIC,Retail,Project Manager,0.0,Approved,Mass Customer,OHM Cycles,Standard,high,medium,10.0,10-15,63,>9,10,0.3999980056440274
94,Male,40-50,NSW,Manufacturing,Civil Engineer,1.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,21.0,>15,33,6-9,7,0.2500108267290286
95,Female,60-70,VIC,Manufacturing,Software Engineer III,0.0,Approved,Affluent Customer,OHM Cycles,Standard,medium,medium,8.0,5-10,67,>9,10,0.845044492175514
96,Male,50-60,NSW,Manufacturing,Nuclear Power Engineer,0.0,Approved,Mass Customer,OHM Cycles,Road,medium,medium,15.0,>15,33,>9,11,0.3520870434592433
97,Male,40-50,NSW,Financial Services,Community Outreach Specialist,1.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,10.0,10-15,16,6-9,8,0.6820085776746825
99,Male,20-30,NSW,Financial Services,VP Accounting,0.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,3.0,<5,97,>9,9,0.6820085776746825
100,Male,50-60,NSW,Financial Services,General Manager,1.0,Approved,Mass Customer,OHM Cycles,Standard,high,medium,4.0,<5,80,>9,12,0.3999980056440274
101,Male,40-50,NSW,Manufacturing,Nurse Practicioner,1.0,Approved,High Net Worth,OHM Cycles,Standard,high,medium,11.0,10-15,83,>9,10,0.4000013715821887
102,Male,60-70,NSW,Manufacturing,Quality Control Specialist,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,high,medium,16.0,>15,51,>9,9,0.4
103,Female,20-30,NSW,Financial Services,Product Engineer,1.0,Approved,Affluent Customer,OHM Cycles,Standard,high,medium,4.0,<5,49,>9,12,0.3999912234509391
104,Female,40-50,QLD,Health,Automation Specialist II,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,9.0,5-10,40,>9,10,0.8687406083742842
105,Female,20-30,NSW,Manufacturing,Recruiting Manager,0.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,1.0,<5,25,>9,10,0.47414469201198267
107,Female,30-40,NSW,Financial Services,Nurse Practicioner,1.0,Approved,Mass Customer,WeareA2B,Touring,medium,medium,9.0,5-10,97,>9,12,0.7523317969836638
112,Female,40-50,VIC,Retail,Marketing Manager,0.0,Approved,High Net Worth,Giant Bicycles,Standard,high,medium,12.0,10-15,88,>9,11,0.3999982287247704
114,Female,30-40,NSW,Entertainment,Teacher,0.0,Approved,Affluent Customer,OHM Cycles,Standard,low,medium,8.0,5-10,10,>9,9,0.19997189432265314
116,Male,20-30,NSW,Manufacturing,Assistant Professor,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,high,medium,2.0,<5,49,6-9,8,0.3999982287247704
117,Female,40-50,QLD,Manufacturing,Marketing Manager,1.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,15.0,>15,75,6-9,6,0.4608385896446885
120,Male,40-50,NSW,Financial Services,Legal Assistant,1.0,Approved,High Net Worth,Norco Bicycles,Standard,high,medium,4.0,<5,80,<3,2,0.40000348237916156
121,Male,60-70,NSW,Manufacturing,Graphic Designer,0.0,Approved,Mass Customer,Solex,Standard,low,medium,15.0,>15,82,>9,9,0.9422335930534558
122,Male,40-50,QLD,Financial Services,Quality Control Specialist,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,small,12.0,10-15,87,<3,2,0.1099992226203349
123,Female,30-40,NSW,Financial Services,Analyst Programmer,1.0,Approved,High Net Worth,WeareA2B,Standard,medium,medium,15.0,>15,85,6-9,8,0.4608385896446885
124,Female,20-30,VIC,Health,Administrative Assistant II,0.0,Approved,High Net Worth,Trek Bicycles,Mountain,low,medium,5.0,5-10,27,6-9,8,0.20000348043992763
125,Female,60-70,NSW,Property,Computer Systems Analyst II,1.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,16.0,>15,94,>9,10,0.7839591373012966
126,Male,30-40,QLD,Health,Administrative Officer,0.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,3.0,<5,53,3-6,4,0.3196864980406127
127,Female,40-50,QLD,Financial Services,Compensation Analyst,1.0,Approved,Mass Customer,Norco Bicycles,Standard,high,small,19.0,>15,81,<3,1,0.10999927794358343
128,Male,40-50,NSW,Property,Systems Administrator III,1.0,Approved,Mass Customer,Trek Bicycles,Road,medium,large,12.0,10-15,73,3-6,5,0.6838965468089263
129,Male,30-40,NSW,Financial Services,Financial Advisor,1.0,Approved,High Net Worth,OHM Cycles,Standard,medium,medium,19.0,>15,64,>9,9,0.9726861750870548
130,Male,20-30,NSW,Manufacturing,Chemical Engineer,0.0,Approved,Mass Customer,Solex,Road,medium,small,1.0,<5,32,6-9,7,0.11000164365548974
131,Female,50-60,QLD,Retail,Administrative Officer,0.0,Approved,High Net Worth,Norco Bicycles,Road,high,large,8.0,5-10,57,3-6,3,0.39999741778885256
132,Female,60-70,NSW,Manufacturing,Web Designer I,0.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,9.0,5-10,5,6-9,8,0.2500108267290286
133,Male,40-50,QLD,Financial Services,VP Accounting,1.0,Approved,Mass Customer,Solex,Standard,medium,medium,16.0,>15,12,<3,1,0.25000434578545727
134,Female,20-30,NSW,Telecommunications,Legal Assistant,0.0,Approved,Affluent Customer,Trek Bicycles,Standard,medium,large,5.0,5-10,34,>9,11,0.5940290178571429
135,Female,40-50,VIC,IT,Internal Auditor,0.0,Approved,Mass Customer,Solex,Standard,high,medium,3.0,<5,18,6-9,6,0.39999609626607857
136,Male,50-60,QLD,Manufacturing,Senior Developer,1.0,Approved,High Net Worth,WeareA2B,Road,low,small,7.0,5-10,46,3-6,3,0.1100035812343321
137,Male,30-40,NSW,Property,Office Assistant II,1.0,Approved,High Net Worth,OHM Cycles,Road,medium,medium,10.0,10-15,27,>9,10,0.3520870434592433
138,Male,30-40,NSW,Financial Services,Recruiter,0.0,Approved,Affluent Customer,WeareA2B,Touring,medium,medium,13.0,10-15,5,>9,9,0.7523317969836638
140,Male,20-30,VIC,Manufacturing,Programmer Analyst III,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,small,2.0,<5,9,>9,9,0.10999826944708832
141,Male,60-70,NSW,Financial Services,Teacher,0.0,Approved,High Net Worth,Giant Bicycles,Standard,high,medium,10.0,10-15,67,>9,11,0.3999982287247704
142,Male,50-60,VIC,Health,Quality Engineer,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,high,medium,17.0,>15,57,>9,9,0.4
143,Male,60-70,QLD,Argiculture,Operator,1.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,medium,11.0,10-15,19,6-9,6,0.3196864980406127
145,Male,20-30,NSW,Financial Services,Account Executive,0.0,Approved,Mass Customer,Solex,Standard,medium,medium,4.0,<5,33,3-6,5,0.24996503007413623
146,Male,30-40,NSW,Manufacturing,Quality Control Specialist,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,small,8.0,5-10,34,>9,11,0.10999826944708832
147,Female,50-60,NSW,Health,Analog Circuit Design manager,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,large,10.0,10-15,32,>9,11,0.8140446671479867
149,Female,20-30,QLD,Health,Research Nurse,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,small,1.0,<5,41,6-9,7,0.11000050681097635
150,Male,40-50,NSW,Financial Services,Cost Accountant,0.0,Approved,Affluent Customer,Solex,Standard,medium,medium,17.0,>15,6,6-9,7,0.37527187552283753
151,Male,50-60,NSW,Manufacturing,Marketing Manager,1.0,Approved,Mass Customer,WeareA2B,Touring,medium,large,13.0,10-15,36,>9,9,0.8623881844487116
152,Female,40-50,NSW,Financial Services,Compensation Analyst,1.0,Approved,Mass Customer,OHM Cycles,Standard,high,medium,16.0,>15,5,>9,12,0.4000013715821887
153,Female,40-50,NSW,Entertainment,Assistant Media Planner,0.0,Approved,Mass Customer,Trek Bicycles,Mountain,low,medium,12.0,10-15,73,6-9,8,0.20000348043992763
155,Male,30-40,NSW,Manufacturing,Quality Engineer,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,small,10.0,10-15,4,>9,10,0.11000050681097635
156,Female,40-50,VIC,Financial Services,Cost Accountant,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,11.0,10-15,23,>9,11,0.7271471088435374
157,Male,40-50,VIC,Financial Services,Financial Advisor,0.0,Approved,Affluent Customer,WeareA2B,Standard,medium,small,16.0,>15,97,6-9,8,0.24998578657115245
159,Male,30-40,NSW,Health,Research Nurse,0.0,Approved,Affluent Customer,WeareA2B,Standard,medium,medium,13.0,10-15,90,>9,10,0.24991713622804118
160,Male,50-60,NSW,Health,Registered Nurse,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,18.0,>15,5,>9,11,0.8687406083742842
162,Male,40-50,NSW,IT,Nurse Practicioner,1.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,15.0,>15,90,>9,10,0.47414469201198267
163,Female,40-50,VIC,Entertainment,Librarian,0.0,Approved,High Net Worth,Giant Bicycles,Standard,medium,small,14.0,10-15,58,>9,10,0.11000122003294088
164,Female,20-30,QLD,Retail,Senior Editor,1.0,Approved,Affluent Customer,Norco Bicycles,Standard,high,medium,1.0,<5,55,3-6,4,0.40000348237916156
165,Male,40-50,NSW,Argiculture,Administrative Officer,0.0,Approved,Mass Customer,Solex,Standard,low,medium,12.0,10-15,61,>9,10,0.9422335930534558
166,Male,60-70,QLD,Manufacturing,Structural Analysis Engineer,0.0,Approved,Affluent Customer,Giant Bicycles,Road,medium,medium,6.0,5-10,54,3-6,4,0.4609126764956238
169,Male,60-70,NSW,Telecommunications,Data Coordiator,1.0,Approved,High Net Worth,Giant Bicycles,Standard,high,medium,5.0,5-10,20,>9,9,0.3999984312864236
170,Male,40-50,VIC,Health,Pharmacist,1.0,Approved,High Net Worth,WeareA2B,Standard,medium,medium,21.0,>15,80,6-9,8,0.5691775706105286
171,Female,50-60,NSW,Manufacturing,Assistant Manager,1.0,Approved,Mass Customer,Solex,Standard,low,medium,10.0,10-15,62,>9,11,0.4629010412257682
172,Male,30-40,VIC,Manufacturing,Editor,1.0,Approved,Affluent Customer,Trek Bicycles,Standard,medium,small,6.0,5-10,54,3-6,4,0.11000050681097635
173,Female,20-30,NSW,Health,General Manager,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,medium,1.0,<5,99,6-9,8,0.3196864980406127
174,Female,30-40,NSW,Health,Food Chemist,0.0,Approved,Mass Customer,Solex,Standard,medium,medium,12.0,10-15,93,>9,9,0.9328546386192018
175,Male,40-50,VIC,Manufacturing,Quality Engineer,0.0,Approved,Affluent Customer,Solex,Standard,medium,large,5.0,5-10,36,>9,11,0.6445767948993213
176,Male,30-40,NSW,Property,Accountant I,1.0,Approved,Mass Customer,Solex,Standard,high,large,10.0,10-15,39,6-9,8,0.4000010852343021
177,Female,30-40,NSW,Financial Services,Professor,0.0,Approved,High Net Worth,Solex,Standard,medium,large,4.0,<5,25,3-6,5,0.30896039790497
179,Male,50-60,NSW,Manufacturing,Environmental Tech,1.0,Approved,High Net Worth,Giant Bicycles,Touring,medium,large,6.0,5-10,23,>9,9,0.5389734093928932
180,Female,50-60,QLD,Argiculture,Web Designer III,1.0,Approved,Affluent Customer,Norco Bicycles,Mountain,low,small,14.0,10-15,16,6-9,8,0.11000101651104367
181,Female,40-50,VIC,Manufacturing,Senior Editor,0.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,9.0,5-10,49,<3,1,0.7271471088435374
182,Male,30-40,QLD,Financial Services,Sales Associate,1.0,Approved,Affluent Customer,Norco Bicycles,Standard,medium,small,7.0,5-10,99,3-6,4,0.11000378245925649
183,Female,20-30,NSW,Retail,Geologist III,0.0,Approved,Affluent Customer,OHM Cycles,Standard,high,medium,3.0,<5,7,>9,10,0.3999980056440274
184,Male,50-60,NSW,Manufacturing,Marketing Manager,0.0,Approved,High Net Worth,WeareA2B,Touring,medium,large,7.0,5-10,40,<3,1,0.8623881844487116
186,Female,50-60,QLD,Financial Services,Software Test Engineer I,0.0,Approved,Mass Customer,Giant Bicycles,Standard,medium,large,3.0,<5,46,6-9,7,0.07221363859821617
188,Female,40-50,NSW,Property,Safety Technician II,0.0,Approved,High Net Worth,OHM Cycles,Standard,medium,medium,13.0,10-15,54,>9,11,0.845044492175514
189,Male,40-50,VIC,Financial Services,Safety Technician I,0.0,Approved,Affluent Customer,WeareA2B,Standard,medium,medium,10.0,10-15,73,3-6,4,0.6173322695729404
190,Female,40-50,NSW,Health,Registered Nurse,1.0,Approved,Affluent Customer,Norco Bicycles,Standard,medium,small,10.0,10-15,42,>9,9,0.11000378245925649
192,Female,40-50,VIC,Health,Junior Executive,0.0,Approved,Mass Customer,Norco Bicycles,Standard,high,medium,8.0,5-10,2,6-9,6,0.40000348237916156
193,Male,50-60,QLD,Manufacturing,Recruiting Manager,1.0,Approved,Mass Customer,Solex,Road,medium,large,12.0,10-15,13,6-9,7,0.538317021037237
194,Female,40-50,QLD,Financial Services,Web Developer III,1.0,Approved,Affluent Customer,Giant Bicycles,Standard,high,medium,10.0,10-15,4,3-6,5,0.3999984312864236
195,Female,60-70,VIC,Manufacturing,Project Manager,0.0,Approved,Mass Customer,Trek Bicycles,Standard,medium,large,6.0,5-10,34,>9,9,0.8140446671479867
196,Male,50-60,NSW,Manufacturing,Programmer Analyst II,0.0,Approved,High Net Worth,Trek Bicycles,Standard,medium,large,6.0,5-10,90,6-9,8,0.8140446671479867
199,Female,40-50,NSW,Health,Junior Executive,1.0,Approved,Mass Customer,OHM Cycles,Standard,low,medium,21.0,>15,61,6-9,8,0.8612602666399024
200,Male,60-70,QLD,Property,Physical Therapy Assistant,0.0,Approved,Affluent Customer,Giant Bicycles,Standard,medium,medium,19.0,>15,7,<3,2,0.6711218297806131
201,Male,50-60,NSW,Manufacturing,Design Engineer,1.0,Approved,Mass Customer,Trek Bicycles,Road,low,small,11.0,10-15,45,>9,9,0.11000174347649211
202,Female,60-70,QLD,Entertainment,Librarian,0.0,Approved,Affluent Customer,Solex,Standard,high,medium,16.0,>15,38,3-6,5,0.39999609626607857
203,Male,60-70,NSW,Argiculture,Senior Quality Engineer,1.0,Approved,Mass Customer,WeareA2B,Standard,medium,medium,11.0,10-15,71,>9,11,0.24991713622804118
204,Male,40-50,VIC,Financial Services,Editor,1.0,Approved,Mass Customer,Giant Bicycles,Standard,high,medium,5.0,5-10,56,>9,10,0.3999984312864236
205,Male,60-70,VIC,Financial Services,Administrative Assistant II,0.0,Approved,Mass Customer,Solex,Road,medium,small,6.0,5-10,18,>9,9,0.11000164365548974
208,Male,20-30,QLD,Property,Office Assistant III,1.0,Approved,High Net Worth,Giant Bicycles,Standard,high,medium,5.0,5-10,57,6-9,7,0.4
210,Male,60-70,VIC,Property,Assistant Manager,0.0,Approved,Mass Customer,Solex,Standard,high,medium,18.0,>15,50,>9,9,0.39999609626607857
212,Female,20-30,QLD,IT,Desktop Support Technician,0.0,Approved,Affluent Customer,Giant Bicycles,Road,medium,medium,1.0,<5,21,3-6,4,0.24999369403455673
213,Male,20-30,QLD,Financial Services,Actuary,0.0,Approved,High Net Worth,Trek Bicycles,Mountain,low,medium,6.0,5-10,13,3-6,4,0.20000348043992763
214,Male,60-70,QLD,Health,Food Chemist,1.0,Approved,Mass Customer,OHM Cycles,Road,high,large,6.0,5-10,82,>9,9,0.3996669442131557
215,Female,40-50,QLD,Retail,Assistant Professor,0.0,Approved,High Net Worth,OHM Cycles,Standard,medium,medium,18.0,>15,37,3-6,3,0.2499728053954096
216,Female,20-30,NSW,Financial Services,Quality Engineer,1.0,Approved,High Net Worth,Norco Bicycles,Standard,high,small,7.0,5-10,12,>9,10,0.10999927794358343
218,Female,30-40,NSW,Property,Administrative Officer,1.0,Approved,High Net Worth,WeareA2B,Standard,medium,medium,8.0,5-10,37,6-9,8,0.24991713622804118
219,Male,50-60,NSW,Health,Database Administrator III,0.0,Approved,Mass Customer,Solex,Standard,low,medium,7.0,5-10,9,6-9,8,0.4629010412257682
220,Female,>70,VIC,Manufacturing,Electrical Engineer,0.0,Approved,High Net Worth,Solex,Standard,low,medium,9.0,5-10,79,6-9,8,0.9422335930534558
221,Female,40-50,NSW,Manufacturing,Tax Accountant,0.0,Approved,Mass Customer,WeareA2B,Standard,low,medium,14.0,10-15,14,6-9,8,0.19999688623873196
222,Male,40-50,NSW,Health,Clinical Specialist,1.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,16.0,>15,89,>9,11,0.47414469201198267
224,Male,50-60,NSW,Financial Services,Compensation Analyst,1.0,Approved,Affluent Customer,OHM Cycles,Standard,medium,medium,17.0,>15,2,>9,12,0.8722810370407624
225,Female,40-50,NSW,Health,Pharmacist,0.0,Approved,Affluent Customer,WeareA2B,Standard,low,medium,13.0,10-15,84,>9,9,0.19999688623873196
226,Male,40-50,NSW,Manufacturing,Database Administrator IV,1.0,Approved,Mass Customer,Norco Bicycles,Standard,medium,medium,20.0,>15,96,6-9,7,0.6820085776746825
227,Male,50-60,NSW,Entertainment,Accountant I,0.0,Approved,Mass Customer,Solex,Standard,medium,medium,18.0,>15,99,>9,9,0.8287370915427438
228,Female,30-40,NSW,Manufacturing,Systems Administrator II,1.0,Approved,High Net Worth,OHM Cycles,Standard,medium,medium,12.0,10-15,59,6-9,7,0.9726861750870548
230,Female,60-70,NSW,Property,Internal Auditor,0.0,Approved,High Net Worth,OHM Cycles,Standard,medium,medium,11.0,10-15,74,>9,11,0.2499728053954096
231,Male,20-30,NSW,Financial Services,Design Engineer,1.0,Approved,Mass Customer,Norco Bicycles,Road,medium,medium,3.0,<5,48,>9,10,0.3073430750850106
